Shear_Strain_(%)	Shear_Stress_(kPa)	Axial_Strain_(%)	Effective_Vertical_Stress_(kPa)
-1.55011	-1.013523	-0.000244	8.962183
-1.537438	-0.585973	-0.001528	7.614257
-1.507482	-0.281838	0.000672	6.569014
-1.469955	-0.012492	0.015096	5.68077
-1.438184	0.167248	0.018824	4.930783
-1.406616	0.227864	0.012468	4.277683
-1.367335	0.414908	0.012407	3.710154
-1.337705	0.483807	0.006356	3.100546
-1.301077	0.644119	0.004889	2.477149
-1.266856	0.753153	0.004095	2.027369
-1.24794	0.866027	0.001711	1.61012
-1.190375	0.914294	0.004828	1.171302
-1.137401	0.916025	0.010206	0.843161
-1.095039	0.966326	-0.000061	0.588922
-1.046799	0.92845	0.003117	0.437581
-1.000519	0.938992	0.001222	0.272096
-0.964278	0.988087	0.0044	0.201376
-0.924609	0.959774	0.011245	0.056753
-0.890919	1.082889	0.001161	0.095295
-0.839558	1.11572	0.003117	0.034122
-0.79997	1.048628	0.031536	-0.035183
-0.76024	1.016023	-0.001772	-0.029526
-0.700165	1.226033	0.014851	-0.0221
-0.650763	1.235898	0.012162	-0.046498
-0.596749	1.186501	0.010206	-0.023514
-0.524655	1.245611	0.005378	0.012906
-0.469477	1.220235	0.014179	0.012906
-0.437501	1.258262	0.005073	-0.03978
-0.407056	1.30826	0.004339	0.091052
-0.369427	1.270837	0.006845	0.044377
-0.335595	1.43386	0.011673	0.120755
-0.29466	1.351558	0.010451	0.151164
-0.2554	1.414809	0.003117	0.201022
-0.216363	1.428363	0.002934	0.278814
-0.167818	1.447715	0.014851	0.321246
-0.131006	1.434688	0.007334	0.356606
-0.092785	1.527834	0.021085	0.492389
-0.066686	1.566086	0.006112	0.51608
-0.021773	1.642515	-0.002506	0.632768
0.026283	1.648539	0.000978	0.639487
0.070645	1.663071	0.026402	0.768551
0.136801	1.801321	0.011734	0.889836
0.174837	1.85516	0.007273	0.898676
0.2132	1.894617	0.001956	1.100582
0.243993	2.00606	0.007273	1.307438
0.268969	2.083845	0.010023	1.417761
0.301374	2.112684	0.008067	1.580064
0.33686	2.221116	0.007578	1.656442
0.408443	2.290015	0.003606	1.800711
0.466253	2.364787	0.003178	1.966549
0.505412	2.439559	0.007823	2.075458
0.532756	2.492871	0.013873	2.31131
0.561161	2.61689	0.003117	2.450275
0.608094	2.793392	0.014607	2.600202
0.624011	2.800394	0.005134	2.76993
0.660211	2.94881	0.00874	2.966532
0.685738	3.013944	0.011245	3.03018
0.724183	3.131034	0.00874	3.237743
0.756098	3.21665	0.008251	3.511077
0.802439	3.352716	0.017051	3.668783
0.839415	3.46062	0.008006	3.877407
0.87788	3.618674	0.024691	4.115026
0.909366	3.717768	-0.008373	4.346988
0.947505	3.943365	0.014362	4.605824
0.989031	4.046751	0.012407	4.822228
1.021517	4.303899	0.003117	5.203762
1.060859	4.404273	0.007028	5.448808
1.09861	4.502162	0.008006	5.714715
1.162745	4.70035	0.013873	6.020933
1.206638	4.802682	0.01149	6.311239
1.257429	5.092811	0.009779	6.62948
1.298302	5.223757	0.00165	6.940648
1.353724	5.355983	0.010451	7.208324
1.404514	5.538509	-0.004095	7.615672
1.464568	5.863577	0.009717	7.891127
1.512155	5.979236	-0.003361	8.294231
1.54709	6.294289	0.01314	8.645357
1.570516	6.424332	0.014179	9.026892
1.599839	6.748119	0.003117	9.407366
1.627019	6.898718	0.008495	9.826382
1.66022	7.037345	0.0022	10.158767
1.688216	7.332443	0.020535	10.626581
1.730497	7.5981	0.003422	10.960379
1.766922	7.796363	0.008006	11.533212
1.788144	8.126175	0.00929	11.931013
1.838016	8.402976	0.010023	12.440198
1.870665	8.690243	0.006295	12.874419
1.910987	9.001079	-0.001222	13.400223
1.935454	9.238122	-0.00055	13.864147
