Shear_Strain_(%)	Shear_Stress_(kPa)	Axial_Strain_(%)	Effective_Vertical_Stress_(kPa)
-0.029149	-0.21571	0.0019674	57.667
-0.030237	-0.56484	0.0019674	57.917
-0.037175	-1.6834	0.0055947	58.377
-0.04904	-3.4448	0.0070702	58.858
-0.063492	-5.7711	-0.0062095	59.549
-0.085559	-8.1712	-0.0039347	59.969
-0.091553	-8.5108	-0.0032585	59.972
-0.085251	-8.1712	0.0022133	59.88
-0.056081	-6.6163	-0.00055332	59.116
-0.051216	-6.4195	-0.0036273	59.036
-0.052961	-6.3923	-0.011866	58.96
-0.043867	-5.9372	0.0068243	58.763
-0.037381	-5.045	0.00092221	58.368
-0.032516	-4.2193	-0.014509	57.992
-0.02802	-3.5025	0.0046725	57.599
-0.025269	-2.907	0.0039347	57.26
-0.022929	-2.4492	-0.003197	56.88
-0.020384	-2.0924	0.014263	56.537
-0.016484	-1.8965	-0.010636	56.382
-0.018783	-1.8978	0.00024592	56.39
-0.015334	-1.7637	-0.012542	56.305
-0.0078826	-0.56464	-0.0019674	55.914
0.0090321	1.8799	0.0036273	55.426
0.031941	4.4641	-0.0019674	55.161
0.052366	7.0504	0.0041192	55.075
0.072011	8.6418	-0.0037503	55.018
0.07511	8.4962	0.0023977	54.841
0.028328	6.6399	-0.00079924	54.859
0.016833	5.6756	-0.0032585	54.874
0.019522	5.597	0.0070702	54.899
0.011003	5.5492	0.004611	54.858
-0.0075747	3.0195	0.00166	55.119
-0.013651	1.4194	0.0056562	55.384
-0.013979	1.192	-0.0035044	55.452
-0.0090527	1.1788	0.00098369	55.442
-0.01751	1.0004	-0.007931	55.547
-0.019522	0.76821	-0.0036888	55.839
-0.019152	0.54509	-0.0022748	56.047
-0.030299	0.26631	-0.0019674	56.333
-0.024551	-0.015025	0.0039347	56.612
-0.028739	-0.23668	-0.0025207	56.93
-0.031941	-0.53231	0.0011681	57.349
-0.048712	-2.6107	-0.0019674	57.968
-0.063635	-5.3523	-0.01039	58.472
-0.086072	-7.9025	-0.00055332	58.93
-0.089829	-8.4622	0.00092221	59.085
-0.089008	-8.143	-0.0036888	58.903
-0.052817	-6.3285	-0.0036888	58.211
-0.048199	-6.1382	-0.0086073	58.039
-0.05097	-6.1115	-0.0020289	58.012
-0.047932	-5.9133	-0.006148	57.854
-0.040911	-5.1329	-0.0098369	57.541
-0.030627	-4.428	0.0051029	57.17
-0.030463	-3.8005	0.020903	56.783
-0.027014	-3.1962	-0.018752	56.409
-0.026091	-2.6511	-0.003197	56.054
-0.017982	-2.2912	0.0039962	55.667
-0.018003	-1.9755	0.0095909	55.405
-0.018967	-1.8852	0.00024592	55.263
-0.018557	-1.8668	-0.0041807	55.29
-0.011927	-1.2282	0.00018444	54.956
0.0038387	0.90472	0.0041192	54.457
0.020753	3.2462	0.0081154	54.135
0.042184	5.8739	-0.0046725	53.946
0.067577	8.1832	-0.0039962	53.914
0.072072	8.6477	-0.00024592	53.946
0.071682	8.2813	-0.00055332	53.812
0.012501	5.6816	0.0081154	53.776
0.015991	5.4958	-0.00049184	53.786
0.011393	5.4714	-0.001537	53.762
0.002607	4.3581	0.0036273	53.842
-0.0069794	2.1234	-0.006148	54.16
-0.013651	1.2193	-0.0096524	54.407
-0.014534	1.1953	-0.013526	54.396
-0.013569	1.1697	0.0036273	54.343
-0.015704	0.95802	-0.0024592	54.49
-0.018742	0.7059	0.0070702	54.835
-0.027117	0.43499	0.0081154	55.04
-0.026296	0.12198	0.017153	55.289
-0.02841	-0.15427	-0.021641	55.544
-0.029416	-0.33503	-0.007685	55.856
-0.033522	-1.3919	0.0031355	56.328
-0.051175	-3.4213	0.0024592	56.973
-0.065791	-5.8245	-0.0089147	57.465
