 max1, max3, max5, max7, max9, max11, max13, max15, max17, max19, max21, max23, max25, max27, max29, max31, max33, max35, max37, max39, max41, max43, max45, max47,max49
0.349336,0.349335,0.349335,0.349335,0.349334,0.349716,0.350037,0.350039,0.350177,0.352212,0.424071,0.513366,0.60177,0.680582,0.684328,0.685412,0.685502,0.685558,0.685502,0.685673,0.685547,0.685444,0.685127,0.68506,0.685092
0.350722,0.350721,0.350722,0.350722,0.350721,0.351281,0.352005,0.35229,0.352255,0.352897,0.39653,0.454119,0.512969,0.571927,0.632817,0.686629,0.686691,0.686593,0.686893,0.686981,0.686892,0.686803,0.686343,0.686246,0.686182
0.349145,0.349144,0.349144,0.349144,0.349144,0.34916,0.394336,0.441702,0.485401,0.529973,0.577532,0.625939,0.669459,0.707369,0.710266,0.710424,0.710387,0.710299,0.710153,0.71005,0.709941,0.709898,0.709757,0.709734,0.709721
0.346872,0.346872,0.346872,0.346872,0.346872,0.346813,0.404235,0.47065,0.543962,0.605859,0.673622,0.731462,0.750497,0.750507,0.749913,0.74923,0.748758,0.748464,0.748311,0.748124,0.747988,0.747875,0.747829,0.747809,0.747782
0.346744,0.346744,0.346743,0.346743,0.346742,0.346318,0.387448,0.45346,0.526332,0.604131,0.668631,0.725297,0.776319,0.778036,0.77745,0.776697,0.77625,0.775908,0.775697,0.775507,0.775343,0.775265,0.775211,0.77517,0.775121
0.349921,0.349921,0.34992,0.34992,0.34992,0.34838,0.346177,0.395785,0.445188,0.496142,0.538881,0.591577,0.640137,0.674408,0.674495,0.673924,0.673774,0.673653,0.673535,0.673493,0.673478,0.673419,0.673375,0.673298,0.673298
0.350588,0.350588,0.350588,0.350588,0.350587,0.349499,0.348072,0.348081,0.347021,0.345785,0.345164,0.373693,0.438315,0.520665,0.585744,0.663969,0.663743,0.663544,0.663591,0.66397,0.663736,0.663826,0.663934,0.664042,0.664125
0.346875,0.346875,0.346874,0.346874,0.346874,0.346882,0.40957,0.469042,0.532081,0.594338,0.662085,0.717972,0.757057,0.757144,0.756647,0.756362,0.756121,0.756015,0.75585,0.7557,0.755575,0.755443,0.755369,0.755345,0.755317
0.349272,0.349272,0.349271,0.349271,0.34927,0.348773,0.355,0.40343,0.454359,0.506597,0.5603,0.612902,0.654165,0.686289,0.686537,0.685953,0.685755,0.68562,0.68542,0.685298,0.6852,0.685188,0.685178,0.685196,0.685211
0.347468,0.347468,0.347468,0.347467,0.347467,0.347599,0.377899,0.434715,0.498032,0.562625,0.628478,0.684008,0.734483,0.73944,0.739813,0.739788,0.739675,0.739556,0.739423,0.739296,0.739182,0.739084,0.739035,0.738938,0.738924
0.350754,0.350754,0.350754,0.350753,0.350753,0.350503,0.350179,0.349854,0.349955,0.35617,0.41353,0.476294,0.528245,0.588462,0.638718,0.687358,0.687726,0.687638,0.687949,0.687963,0.687861,0.687399,0.687165,0.687036,0.686954
0.347533,0.347533,0.347534,0.347533,0.347533,0.346156,0.34673,0.386097,0.44838,0.507164,0.57748,0.65258,0.715532,0.775415,0.777792,0.778411,0.778396,0.778455,0.778402,0.778476,0.778422,0.778407,0.778204,0.777987,0.7779
0.348158,0.348158,0.348157,0.348157,0.348156,0.346755,0.347398,0.35033,0.408367,0.467681,0.544163,0.610211,0.681505,0.740015,0.742577,0.743261,0.743194,0.743223,0.743191,0.743266,0.743237,0.743238,0.743043,0.742924,0.742841
0.347304,0.347303,0.347304,0.347303,0.347303,0.346916,0.39976,0.460338,0.521107,0.579444,0.637699,0.700034,0.744001,0.777825,0.778639,0.778821,0.778964,0.778966,0.778891,0.778734,0.778667,0.778605,0.778497,0.778465,0.778494
0.350588,0.350588,0.350588,0.350588,0.350587,0.349499,0.348072,0.348081,0.347021,0.345785,0.345164,0.373693,0.438315,0.520665,0.585744,0.663969,0.663743,0.663544,0.663591,0.66397,0.663736,0.663826,0.663934,0.664042,0.664125
0.347758,0.347758,0.347759,0.347758,0.347758,0.346482,0.347485,0.363118,0.428025,0.498784,0.567505,0.632175,0.701058,0.751578,0.753946,0.754531,0.754454,0.754558,0.754523,0.754628,0.754603,0.754608,0.754541,0.754456,0.754445
0.346875,0.346875,0.346874,0.346874,0.346874,0.346882,0.40957,0.469042,0.532081,0.594338,0.662085,0.717972,0.757057,0.757144,0.756647,0.756362,0.756121,0.756015,0.75585,0.7557,0.755575,0.755443,0.755369,0.755345,0.755317
0.350945,0.350945,0.350944,0.350944,0.350944,0.35048,0.350073,0.349464,0.348848,0.349265,0.395831,0.452433,0.514494,0.571071,0.62079,0.667281,0.667539,0.667494,0.667807,0.667859,0.667804,0.667648,0.66713,0.667035,0.667101
0.351521,0.35152,0.351521,0.35152,0.35152,0.380279,0.411534,0.440547,0.472259,0.501456,0.531218,0.559743,0.589271,0.601278,0.613341,0.632875,0.632651,0.632609,0.632552,0.632498,0.632429,0.632377,0.632321,0.632314,0.632323
0.351866,0.351866,0.351866,0.351865,0.351865,0.352315,0.386785,0.416121,0.44474,0.474172,0.50353,0.535852,0.56834,0.59495,0.610159,0.610751,0.610433,0.610214,0.609913,0.609705,0.609647,0.609581,0.609526,0.609506,0.609535
0.349357,0.349357,0.349356,0.349356,0.349356,0.349904,0.350312,0.350088,0.349665,0.350388,0.438815,0.517712,0.606584,0.672151,0.674264,0.675062,0.675161,0.675078,0.675166,0.67509,0.675092,0.675295,0.675254,0.674867,0.674804
0.349192,0.349192,0.349192,0.349191,0.349192,0.349116,0.349277,0.349566,0.350338,0.40351,0.473773,0.546263,0.624077,0.694892,0.698228,0.699078,0.699182,0.699109,0.699202,0.699187,0.699237,0.699288,0.698916,0.698703,0.698618
0.348133,0.348133,0.348132,0.348132,0.348132,0.346881,0.347383,0.351164,0.40434,0.472981,0.541972,0.61665,0.692669,0.746341,0.748988,0.749808,0.749811,0.749904,0.74957,0.749411,0.749183,0.748841,0.748747,0.748633,0.748562
0.34861,0.34861,0.34861,0.348609,0.34861,0.347167,0.347403,0.35606,0.413858,0.476209,0.542141,0.605307,0.669062,0.718061,0.72068,0.721441,0.721401,0.721457,0.721434,0.721566,0.721557,0.721568,0.721335,0.721305,0.721337
0.351978,0.351978,0.351977,0.351977,0.351978,0.351099,0.383697,0.409335,0.440217,0.470227,0.50243,0.533062,0.561486,0.583897,0.597832,0.603815,0.603625,0.60334,0.603076,0.603017,0.602925,0.602925,0.602931,0.602954,0.602967
0.349809,0.349808,0.349808,0.349808,0.349807,0.34958,0.349481,0.349177,0.348759,0.349428,0.426271,0.500259,0.582472,0.655162,0.657861,0.658799,0.658873,0.658985,0.659116,0.659337,0.659412,0.659348,0.659449,0.659057,0.658974
0.351454,0.351453,0.351453,0.351452,0.351452,0.349664,0.386105,0.416175,0.450303,0.481092,0.514333,0.543004,0.576742,0.607202,0.630181,0.643031,0.642717,0.642601,0.64249,0.642583,0.642468,0.642363,0.642332,0.642366,0.642363
0.347378,0.347378,0.347377,0.347377,0.347378,0.347505,0.381222,0.442891,0.504266,0.563925,0.630683,0.690242,0.734015,0.751651,0.752192,0.752209,0.752088,0.751953,0.751823,0.751695,0.751629,0.751543,0.751493,0.751439,0.75147
0.349272,0.349272,0.349271,0.349271,0.34927,0.348773,0.355,0.40343,0.454359,0.506597,0.5603,0.612902,0.654165,0.686289,0.686537,0.685953,0.685755,0.68562,0.68542,0.685298,0.6852,0.685188,0.685178,0.685196,0.685211
0.350754,0.350754,0.350754,0.350753,0.350753,0.350503,0.350179,0.349854,0.349955,0.35617,0.41353,0.476294,0.528245,0.588462,0.638718,0.687358,0.687726,0.687638,0.687949,0.687963,0.687861,0.687399,0.687165,0.687036,0.686954
0.348411,0.348411,0.348411,0.348411,0.34841,0.348324,0.39489,0.441435,0.496462,0.553623,0.612644,0.665712,0.715604,0.733512,0.73384,0.73412,0.733954,0.733814,0.73367,0.733562,0.733508,0.73351,0.733375,0.733315,0.733354
0.351978,0.351978,0.351977,0.351977,0.351978,0.351099,0.383697,0.409335,0.440217,0.470227,0.50243,0.533062,0.561486,0.583897,0.597832,0.603815,0.603625,0.60334,0.603076,0.603017,0.602925,0.602925,0.602931,0.602954,0.602967
0.350945,0.350945,0.350944,0.350944,0.350944,0.35048,0.350073,0.349464,0.348848,0.349265,0.395831,0.452433,0.514494,0.571071,0.62079,0.667281,0.667539,0.667494,0.667807,0.667859,0.667804,0.667648,0.66713,0.667035,0.667101
0.35133,0.351329,0.351329,0.351329,0.351328,0.350751,0.349994,0.348976,0.347872,0.347825,0.352551,0.408522,0.46889,0.524131,0.579736,0.631958,0.632349,0.632337,0.632677,0.632858,0.632862,0.632917,0.632805,0.632582,0.632269
0.350945,0.350945,0.350944,0.350944,0.350944,0.35048,0.350073,0.349464,0.348848,0.349265,0.395831,0.452433,0.514494,0.571071,0.62079,0.667281,0.667539,0.667494,0.667807,0.667859,0.667804,0.667648,0.66713,0.667035,0.667101
0.348411,0.348411,0.348411,0.348411,0.34841,0.348324,0.39489,0.441435,0.496462,0.553623,0.612644,0.665712,0.715604,0.733512,0.73384,0.73412,0.733954,0.733814,0.73367,0.733562,0.733508,0.73351,0.733375,0.733315,0.733354
0.347443,0.347443,0.347443,0.347443,0.347443,0.346356,0.347925,0.400168,0.458544,0.5269,0.591083,0.658198,0.71619,0.766587,0.768448,0.768826,0.768942,0.768997,0.768962,0.769051,0.769033,0.768959,0.768713,0.768615,0.768491
0.350945,0.350945,0.350944,0.350944,0.350944,0.35048,0.350073,0.349464,0.348848,0.349265,0.395831,0.452433,0.514494,0.571071,0.62079,0.667281,0.667539,0.667494,0.667807,0.667859,0.667804,0.667648,0.66713,0.667035,0.667101
