eval_id	interface	Dr	G0	hpo	nCycles.CovMultiplier	nCycles_1	nCycles_2	nCycles_3	nCycles_4	nCycles_5	nCycles_6	
112	1	0.4602279144105479	364.0495393248994	0.684361684740651	0.6351119164865006	26.25	26.25	10.5	6.25	3.5	2.25	
113	1	0.5085560129331762	220.8862735023522	0.4031849588373379	1.449045594118641	26.5	26.5	10.5	6.25	3.5	2.25	
114	1	0.6314208047516519	156.46535220258514	0.0649523267386687	0.564995224316945	22.5	22.5	9.25	5.25	3.25	1.5	
115	1	0.5123104434340106	284.2081653860175	0.3197864103511263	1.331308711345542	21.25	21.25	8.5	4.5	3.25	1.5	
116	1	0.6255878255381105	141.45384432107778	0.0763200830517406	0.44326599200270195	6.5	6.5	2.5	1.5	1.25	0.5	
117	1	0.6255878255381105	141.45384432107778	0.0763200830517406	0.44326599200270195	22.5	22.5	9.25	5.25	3.25	1.5	
118	1	0.5744308353136128	303.8391264318671	0.15539447858755168	1.2928189312042377	22.5	22.5	10.25	5.5	3.5	2.5	
119	1	0.5007418055993351	232.5151562899878	0.42109292255420233	1.0198693965855552	23.5	23.5	9.5	5.25	3.25	1.5	
120	1	0.4602279144105479	364.0495393248994	0.684361684740651	0.6351119164865006	25.5	25.5	10.5	5.5	3.5	2.25	
121	1	0.4602279144105479	364.0495393248994	0.684361684740651	0.6351119164865006	30.25	30.25	12.25	6.5	4.25	2.5	
122	1	0.6012536612692018	299.55647080099203	0.09761760664605026	1.4048483426234528	20.25	20.25	8.5	5.25	3.25	2.25	
123	1	0.4568121185527598	363.8660345301353	0.6734946704446352	0.6781860124579226	24.5	24.5	10.25	5.5	3.5	2.25	
124	1	0.4884132350814083	354.5513577428414	0.4556208074376225	0.46724955457850115	31.5	31.5	12.5	7.25	4.5	2.5	
125	1	0.6226486482251989	134.54321176270875	0.0787662624461743	0.33674003233859745	11.25	11.25	4.5	2.5	1.5	1.25	
126	1	0.4951124587769291	263.93614278516384	0.458245167360138	0.9362038798374939	32.5	32.5	13.25	7.25	4.25	2.5	
127	1	0.49284892677680636	264.79207762117215	0.4657095064332754	1.392076866431715	26.25	26.25	10.5	5.5	3.5	2.25	
128	1	0.4607892329393126	356.89551179172645	0.666577576034588	0.8393554584464231	23.5	23.5	9.5	5.5	3.25	2.25	
129	1	0.48855299342543645	302.78047923108835	0.46619879985292667	1.0466582528446722	23.5	23.5	9.5	5.25	3.25	2.25	
130	1	0.6187322515241267	248.5541868045173	0.08741427123162851	0.9392508806667226	24.25	24.25	10.25	5.5	3.5	2.25	
131	1	0.5474414349264216	108.60437197827133	0.22742679719710843	0.610388936273565	27.25	27.25	10.5	5.5	3.25	1.5	
132	1	0.6804936568348352	307.3498711000579	0.03900157105761888	1.109622051594669	11.5	11.5	6.25	4.25	2.5	1.5	
133	1	0.49974533422980655	226.93573628644643	0.39979384069203666	1.1419029263083522	23.5	23.5	9.5	5.25	3.25	1.5	
134	1	0.6255878255381105	141.45384432107778	0.0763200830517406	0.44326599200270195	24.25	24.25	9.5	5.25	3.25	1.5	
135	1	0.6255878255381105	141.45384432107778	0.0763200830517406	0.44326599200270195	31.5	31.5	13.25	7.25	4.25	2.25	
136	1	0.4609149851873951	373.9585523190397	0.6877855822633039	0.6638725196189483	30.25	30.25	12.5	7.25	4.25	2.5	
137	1	0.6255878255381105	141.45384432107778	0.0763200830517406	0.44326599200270195	23.5	23.5	9.5	5.25	3.25	2.25	
138	1	0.5474414349264216	108.60437197827133	0.22742679719710843	0.610388936273565	21.25	21.25	8.25	4.25	2.5	1.25	
139	1	0.5744308353136128	303.8391264318671	0.15539447858755168	1.2928189312042377	25.5	25.5	10.5	6.25	3.5	2.25	
140	1	0.6255878255381105	141.45384432107778	0.0763200830517406	0.44326599200270195	14.25	14.25	6.25	3.25	2.25	1.25	
141	1	0.4602279144105479	364.0495393248994	0.684361684740651	0.6351119164865006	28.25	28.25	11.5	6.5	4.25	2.25	
142	1	0.5744308353136128	303.8391264318671	0.15539447858755168	1.2928189312042377	25.25	25.25	10.5	6.25	3.5	2.25	
143	1	0.5007418055993351	232.5151562899878	0.42109292255420233	1.0198693965855552	26.5	26.5	10.5	6.25	3.5	2.25	
144	1	0.49502053173670996	218.03619742800566	0.4104820618557628	0.9160757784099652	22.5	22.5	9.25	5.25	3.25	1.5	
145	1	0.5143595950125033	186.93569168451623	0.32880168128787274	0.9217419269532522	22.5	22.5	9.25	5.25	3.25	1.5	
146	1	0.5474414349264216	108.60437197827133	0.22742679719710843	0.610388936273565	25.5	25.5	10.25	5.25	3.25	1.5	
147	1	0.5586673974164768	284.750784553396	0.17900846485433208	1.4692420884627626	22.25	22.25	9.5	5.25	3.25	2.25	
148	1	0.556194247529656	108.46432806054274	0.19167062202107835	0.4822488830509368	22.25	22.25	8.5	4.5	2.5	1.5	
